Statement,Link
BJP doesn’t approve of misconduct against media: Chief spokesperson Upadhya,https://indianexpress.com/article/cities/mumbai/bjp-doesnt-approve-of-misconduct-against-media-chief-spokesperson-upadhya-9006584/
Hindu College suspends students for ‘indiscipline’; seeks undertaking they won’t ‘cause disruption’,https://indianexpress.com/article/cities/delhi/hindu-college-suspends-students-for-indiscipline-9006209/
SC rejects Manish Sisodia bail in Delhi excise policy case: Evidence on Rs 338 cr excess profit to distributors,https://indianexpress.com/article/cities/delhi/supreme-court-dismisses-manish-sisodia-bail-plea-delhi-excise-policy-scam-case-9005466/
Jhujhar Singh brings more laurels for Chandigarh^ helps India win silver,https://indianexpress.com/article/cities/chandigarh/jhujhar-singh-brings-more-laurels-for-chandigarh-helps-india-win-silver-9005170/
Ahmedabad: Drugs worth Rs 160 cr seized at Aurangabad,https://indianexpress.com/article/cities/ahmedabad/ahmedabad-drugs-worth-rs-160-cr-seized-at-aurangabad-9005070/
Consider inmates’ requests for no onion and garlic^ fewer spices in food: Maharashtra Prison Department to jail officials,https://indianexpress.com/article/cities/pune/maharashtra-prison-department-police-9004348/
Mohali: Police arrest three out to kill a ‘prominent person in Punjab’^ bust Babbar Khalsa terror module,https://indianexpress.com/article/cities/chandigarh/mohali-police-arrest-three-out-to-kill-a-prominent-person-in-punjab-bust-babbar-khalsa-terror-module-9003965/
Video shows 3 cars performing stunts near Gurgaon’s Cyber City^ 2 men arrested,https://indianexpress.com/article/cities/delhi/video-3-cars-stunts-gurgaon-cyber-city-2-men-arrested-9003747/
Forest officials visit Karnataka minister Laxmi Hebbalkar’s house to check if son owned tiger claw pendant,https://indianexpress.com/article/cities/bangalore/forest-officials-karnataka-minister-laxmi-hebbalkar-house-son-tiger-claw-pendant-9003208/
31-year-old case: CBI court holds police officer guilty of making false record,https://indianexpress.com/article/cities/chandigarh/31-year-old-case-cbi-court-police-guilty-false-record-9002880/
Couple found dead in hotel in Delhi’s Jafrabad^ police suspect suicide,https://indianexpress.com/article/cities/delhi/couple-found-dead-in-hotel-in-jafrabad-police-suspect-suicide-9002758/
SPPU canteens to get overhaul after students find insects in food,https://indianexpress.com/article/cities/pune/sppu-canteens-to-get-overhaul-after-students-find-insects-in-food-9002513/
Work for overhaul of canteen and mess facilities begins in SPPU,https://indianexpress.com/article/cities/pune/overhaul-of-canteen-facilities-begins-in-sppu-9001138/
Cross-examination of former Pune Rural SP Haque begins before Koregaon Bhima Commission,https://indianexpress.com/article/cities/pune/cross-examination-of-then-pune-rural-sp-begins-9001341/
Aranha provided place where plan was hatched to help Lalit Patil escape: Police tell court,https://indianexpress.com/article/cities/pune/aranha-provided-place-where-plan-was-hatched-to-help-lalit-patil-escape-police-tell-court-9001221/
2 puppies charred to death in fire at Chennai home,https://indianexpress.com/article/cities/chennai/2-puppies-charred-to-death-in-fire-at-chennai-home-9000891/
Gujarat cattle menace: HC defers framing contempt charges against officials by a day,https://indianexpress.com/article/cities/ahmedabad/gujarat-cattle-menace-high-court-charges-9000206/
